Geneid	SRR26327154
84852	43
101929023	1
965	257
100616384	0
3321	25
100302117	0
388667	0
914	563
5738	37
9398	28
101929099	7
8458	243
100126331	0
80263	43
79679	0
104355292	0
10905	1239
100996263	0
54855	1609
54834	346
10885	85
200162	0
6913	8
10352	92
104472716	1
101929147	35
51179	0
100874270	0
3284	0
3283	0
128102	0
644242	0
90874	9
26227	76
3158	0
83998	1
343505	0
11085	1
4853	5065
9554	384
105378954	12
728841	374
767846	33
100996724	379
101929796	195
101060684	287
100189005	21
101954277	144
653505	1
728855	127
101954264	20
100189257	0
105369199	7
100996721	0
100126488	0
101929798	0
2210	73
100996318	6
337875	0
653820	0
653464	72
100873165	1
647121	45
101929815	0
100189261	0
101954269	0
26863	13
791227	0
105369140	12
388692	0
100189142	0
100189326	0
199882	0
100189356	0
100132417	2
100996713	1
554282	0
100996712	8
101060524	0
730262	0
101954267	24
100189323	1
284565	104
100189127	0
728945	0
105371215	0
1818	0
645166	0
647135	28
728833	1
101929805	0
102724235	8
103091866	46
645142	0
101954266	39
7214	1
100288142	11
100126510	0
101060254	2
101929780	11
653519	28
5174	9
11126	64
27246	400
10623	390
200035	77
10401	288
102466191	0
148741	0
8515	6
8799	226
114814	12
9939	398
128077	421
84265	75
284615	64
10628	9077
148738	4
100189384	0
100189064	0
100188991	3
100189198	0
101954276	36
101928979	0
100132406	140
388677	69
170688	2
105371242	0
102724558	0
100288805	0
105373468	52
149013	579
728989	9
100189334	0
101447996	37
644861	1
5565	212
171423	835
2330	33
9557	300
100289211	2
607	279
51205	50
2702	0
2703	0
51463	66
100034743	13
100189140	0
26864	41
100189193	0
200030	260
101927468	0
100189056	3
100189307	0
100189174	0
100188998	0
100847044	2
101954273	0
102466225	4
26860	5
100132057	65
101954272	7
388685	130
644591	0
25832	231
100996763	168
440672	0
9659	337
400818	249
653513	20
100996761	0
101060226	697
653598	0
57234	128
644634	0
100189228	0
102723955	0
100189059	0
440689	121
2209	31
101927767	1
653604	61
8370	8
105371405	1
126961	0
8337	1
337873	10
723790	20
333932	0
554313	2
8349	641
8338	1097
317772	210
51027	28
9900	88
10262	579
10903	44
56957	191
105373477	8
11311	44
51177	1937
81611	627
23632	562
51107	1959
79630	20
148523	6
54460	250
9129	1066
23248	1614
80222	119
102465529	2
1893	4
100874054	7
54507	214
105371437	18
100422997	0
574406	76
4170	14194
2029	1342
55204	79
84072	15
1520	3601
1513	317
405	712
9869	981
29956	890
8416	131
55793	385
58497	360
149428	80
54964	90
56882	9057
10962	68
126626	79
10500	26
100534012	4
79626	29
388695	41
79005	57
29765	20
6944	70
8394	1268
5710	357
57592	2665
5298	2271
5993	949
8991	15
5692	1497
23126	2142
57530	3
7286	45
693139	2
81609	504
11189	5
284485	0
65005	419
51686	7
11022	32
339398	7
6097	256
100191040	14
100132111	3
284486	13
117145	135
6281	425
441908	0
6282	732
100131107	0
126637	0
7062	0
126638	0
388697	2
2312	0
339400	5
388698	0
49860	0
254910	0
54544	0
353145	0
84648	0
353144	0
353143	0
353142	0
